round 4 secondBrain125 350 358 Resource8
round 0 secondBrain44 103 107 Resource8
round 0 secondBrain148 395 409 Resource8
round 0 secondBrain155 422 426 Resource8
round 4 secondBrain11 41 46 Resource8
round 0 secondBrain133 365 369 Resource8
round 2 secondBrain25 62 66 Resource8
round 0 secondBrain37 87 98 Resource8
round 3 secondBrain102 280 289 Resource8
round 1 secondBrain56 144 152 Resource8
round 4 secondBrain156 453 461 Resource8
round 4 secondBrain76 209 216 Resource8
round 1 secondBrain4 11 23 Resource8
round 6 secondBrain49 156 169 Resource8
round 3 secondBrain26 82 87 Resource8
round 3 secondBrain111 308 314 Resource8
round 4 secondBrain111 314 322 Resource8
round 1 secondBrain131 360 365 Resource8
round 1 secondBrain133 369 373 Resource8
round 3 secondBrain53 136 144 Resource8
round 1 secondBrain94 259 263 Resource8
round 5 secondBrain73 229 235 Resource8
round 3 secondBrain46 119 126 Resource8
round 2 secondBrain132 373 384 Resource8
round 1 secondBrain106 299 303 Resource8
round 3 secondBrain72 197 203 Resource8
round 1 secondBrain19 46 56 Resource8
round 1 secondBrain104 292 297 Resource8
round 2 secondBrain85 239 246 Resource8
round 1 secondBrain71 188 192 Resource8
round 3 secondBrain142 384 395 Resource8
round 1 secondBrain41 98 103 Resource8
round 4 secondBrain73 221 229 Resource9
round 3 secondBrain12 41 47 Resource9
round 3 secondBrain65 193 198 Resource9
round 2 secondBrain12 32 41 Resource9
round 1 secondBrain43 118 123 Resource9
round 5 secondBrain127 379 384 Resource9
round 5 secondBrain149 435 439 Resource9
round 3 secondBrain122 351 355 Resource9
round 3 secondBrain32 82 87 Resource9
round 0 secondBrain24 56 61 Resource9
round 4 secondBrain78 235 240 Resource9
round 1 secondBrain5 10 15 Resource9
round 1 secondBrain39 97 104 Resource9
round 1 secondBrain11 15 29 Resource9
round 1 secondBrain63 178 186 Resource9
round 4 secondBrain97 279 286 Resource9
round 5 secondBrain80 251 259 Resource9
round 2 secondBrain47 123 129 Resource9
round 4 secondBrain55 172 177 Resource9
round 2 secondBrain109 310 314 Resource9
round 6 secondBrain85 268 272 Resource9
round 2 secondBrain77 214 219 Resource9
round 3 secondBrain152 420 424 Resource9
round 1 secondBrain155 426 432 Resource9
round 4 secondBrain2 19 23 Resource9
round 1 secondBrain27 61 65 Resource9
round 1 secondBrain38 87 97 Resource9
round 5 secondBrain50 156 161 Resource9
round 3 secondBrain28 68 75 Resource9
round 5 secondBrain114 326 339 Resource9
round 5 secondBrain118 355 363 Resource9
round 1 secondBrain2 4 8 Resource9
round 6 secondBrain98 298 302 Resource9
round 0 secondBrain147 395 403 Resource9
round 0 secondBrain73 198 202 Resource9
round 6 secondBrain113 341 346 Resource9
round 5 secondBrain135 390 395 Resource9
round 0 secondBrain152 403 408 Resource9
round 4 secondBrain153 444 448 Resource9
round 2 secondBrain15 48 52 Resource9
round 1 secondBrain15 52 56 Resource9
round 3 secondBrain157 432 439 Resource9
round 4 secondBrain127 375 379 Resource9
round 2 secondBrain153 431 437 Resource6
round 1 secondBrain80 218 234 Resource6
round 0 secondBrain91 234 248 Resource6
round 3 secondBrain71 199 203 Resource6
round 3 secondBrain139 400 411 Resource6
round 1 secondBrain4 11 17 Resource6
round 0 secondBrain104 273 292 Resource6
round 1 secondBrain54 144 150 Resource6
round 0 secondBrain28 48 55 Resource6
round 1 secondBrain92 248 258 Resource6
round 2 secondBrain69 194 198 Resource6
round 5 secondBrain29 98 113 Resource6
round 3 secondBrain76 205 209 Resource6
round 4 secondBrain45 123 129 Resource6
round 2 secondBrain47 129 144 Resource6
round 1 secondBrain57 150 160 Resource6
round 3 secondBrain45 119 129 Resource6
round 0 secondBrain119 320 327 Resource6
round 5 secondBrain116 346 351 Resource6
round 3 secondBrain137 378 385 Resource6
round 4 secondBrain154 447 453 Resource6
round 1 secondBrain122 336 346 Resource6
round 1 secondBrain46 115 119 Resource6
round 1 secondBrain110 303 310 Resource6
round 3 secondBrain73 217 221 Resource6
round 3 secondBrain61 160 173 Resource6
round 3 secondBrain19 60 74 Resource6
round 0 secondBrain128 351 358 Resource6
round 2 secondBrain68 186 192 Resource6
round 3 secondBrain29 87 94 Resource6
round 1 secondBrain149 414 418 Resource6
round 0 secondBrain110 292 303 Resource6
round 1 secondBrain113 310 320 Resource6
round 3 secondBrain93 259 273 Resource6
round 1 secondBrain20 43 48 Resource6
round 1 secondBrain12 36 43 Resource6
round 4 secondBrain74 224 230 Resource6
round 4 secondBrain9 27 36 Resource6
round 2 secondBrain30 64 68 Resource7
round 5 secondBrain112 327 334 Resource7
round 6 secondBrain82 254 260 Resource7
round 1 secondBrain32 73 78 Resource7
round 1 secondBrain36 91 99 Resource7
round 6 secondBrain69 214 218 Resource7
round 2 secondBrain89 253 257 Resource7
round 5 secondBrain0 32 39 Resource7
round 1 secondBrain156 435 444 Resource7
round 5 secondBrain37 119 124 Resource7
round 0 secondBrain123 334 338 Resource7
round 1 secondBrain102 260 269 Resource7
round 5 secondBrain87 249 253 Resource7
round 2 secondBrain4 17 23 Resource7
round 2 secondBrain112 306 317 Resource7
round 4 secondBrain33 78 83 Resource7
round 5 secondBrain154 453 461 Resource7
round 1 secondBrain138 379 384 Resource7
round 3 secondBrain154 442 448 Resource7
round 1 secondBrain112 301 306 Resource7
round 3 secondBrain4 23 30 Resource7
round 0 secondBrain104 269 301 Resource7
round 0 secondBrain153 412 425 Resource7
round 3 secondBrain19 60 64 Resource7
round 5 secondBrain78 240 247 Resource7
round 5 secondBrain143 407 412 Resource7
round 0 secondBrain49 116 129 Resource7
round 3 secondBrain140 390 397 Resource7
round 5 secondBrain69 209 214 Resource7
round 4 secondBrain81 229 234 Resource7
round 2 secondBrain135 374 379 Resource7
round 4 secondBrain57 171 182 Resource7
round 1 secondBrain127 357 362 Resource7
round 6 secondBrain13 44 50 Resource7
round 2 secondBrain124 345 350 Resource7
round 4 secondBrain143 402 407 Resource7
round 1 secondBrain44 107 116 Resource7
round 2 secondBrain138 384 390 Resource7
round 4 secondBrain49 148 152 Resource7
round 5 secondBrain65 205 209 Resource7
round 0 secondBrain154 425 432 Resource7
round 2 secondBrain155 432 453 Resource7
round 3 secondBrain80 240 244 Resource4
round 3 secondBrain40 112 126 Resource4
round 0 secondBrain7 0 11 Resource4
round 0 secondBrain21 37 45 Resource4
round 0 secondBrain106 288 299 Resource4
round 0 secondBrain99 249 265 Resource4
round 0 secondBrain103 274 288 Resource4
round 0 secondBrain18 25 37 Resource4
round 0 secondBrain54 137 144 Resource4
round 3 secondBrain67 186 194 Resource4
round 2 secondBrain156 444 449 Resource4
round 5 secondBrain55 177 182 Resource4
round 3 secondBrain74 219 224 Resource4
round 3 secondBrain119 338 347 Resource4
round 3 secondBrain149 422 431 Resource4
round 0 secondBrain100 265 274 Resource4
round 3 secondBrain42 128 137 Resource4
round 1 secondBrain144 402 413 Resource4
round 1 secondBrain9 11 17 Resource4
round 2 secondBrain58 173 177 Resource4
round 3 secondBrain66 197 204 Resource4
round 5 secondBrain34 105 111 Resource4
round 2 secondBrain132 373 381 Resource4
round 2 secondBrain127 362 370 Resource4
round 5 secondBrain111 322 328 Resource4
round 0 secondBrain34 62 74 Resource4
round 5 secondBrain59 182 186 Resource4
round 0 secondBrain88 244 249 Resource4
round 1 secondBrain141 387 400 Resource4
round 1 secondBrain28 55 62 Resource4
round 0 secondBrain15 17 25 Resource4
round 3 secondBrain81 224 229 Resource4
round 0 secondBrain36 78 91 Resource5
round 1 secondBrain137 369 373 Resource5
round 0 secondBrain139 378 385 Resource5
round 4 secondBrain0 23 33 Resource5
round 1 secondBrain90 243 253 Resource5
round 2 secondBrain96 266 278 Resource5
round 1 secondBrain117 315 321 Resource5
round 2 secondBrain43 123 134 Resource5
round 3 secondBrain98 282 286 Resource5
round 1 secondBrain82 223 228 Resource5
round 3 secondBrain36 103 108 Resource5
round 3 secondBrain11 34 41 Resource5
round 0 secondBrain130 351 357 Resource5
round 0 secondBrain55 145 158 Resource5
round 1 secondBrain68 176 186 Resource5
round 0 secondBrain75 186 203 Resource5
round 1 secondBrain78 216 223 Resource5
round 0 secondBrain136 357 369 Resource5
round 1 secondBrain123 339 344 Resource5
round 1 secondBrain62 171 176 Resource5
round 1 secondBrain139 385 390 Resource5
round 3 secondBrain57 166 171 Resource5
round 3 secondBrain100 289 295 Resource5
round 2 secondBrain124 345 351 Resource5
round 0 secondBrain26 59 66 Resource5
round 0 secondBrain121 328 332 Resource5
round 2 secondBrain137 373 378 Resource5
round 1 secondBrain26 66 78 Resource5
round 1 secondBrain51 141 145 Resource5
round 3 secondBrain15 52 59 Resource5
round 1 secondBrain121 332 339 Resource5
round 2 secondBrain99 278 282 Resource5
round 0 secondBrain116 295 315 Resource5
round 2 secondBrain84 239 243 Resource5
round 2 secondBrain92 258 263 Resource5
round 0 secondBrain156 426 435 Resource5
round 1 secondBrain148 409 426 Resource5
round 0 secondBrain120 321 328 Resource5
round 3 secondBrain143 398 402 Resource5
round 1 secondBrain120 328 344 Resource2
round 0 secondBrain98 260 271 Resource2
round 3 secondBrain7 25 32 Resource2
round 1 secondBrain68 186 190 Resource2
round 3 secondBrain120 350 355 Resource2
round 1 secondBrain58 169 173 Resource2
round 5 secondBrain56 174 180 Resource2
round 4 secondBrain114 321 326 Resource2
round 3 secondBrain34 94 98 Resource2
round 1 secondBrain77 209 214 Resource2
round 0 secondBrain75 196 209 Resource2
round 0 secondBrain114 302 312 Resource2
round 6 secondBrain116 344 350 Resource2
round 1 secondBrain111 295 302 Resource2
round 0 secondBrain157 407 421 Resource2
round 5 secondBrain56 174 186 Resource2
round 3 secondBrain85 246 254 Resource2
round 0 secondBrain17 32 39 Resource2
round 3 secondBrain107 288 295 Resource2
round 6 secondBrain158 460 476 Resource2
round 0 secondBrain96 254 260 Resource2
round 6 secondBrain34 111 115 Resource2
round 1 secondBrain101 282 288 Resource2
round 3 secondBrain43 134 138 Resource2
round 3 secondBrain18 58 63 Resource2
round 0 secondBrain131 355 360 Resource2
round 4 secondBrain131 379 391 Resource2
round 1 secondBrain31 63 70 Resource2
round 1 secondBrain81 214 220 Resource2
round 1 secondBrain43 118 125 Resource2
round 1 secondBrain143 391 407 Resource2
round 0 secondBrain74 190 196 Resource2
round 4 secondBrain82 238 244 Resource2
round 1 secondBrain20 39 47 Resource2
round 2 secondBrain56 152 156 Resource3
round 2 secondBrain144 413 419 Resource3
